,uuid,url,filename,folder,building
56,54b51a22-5d31-49ae-b978-1285fb88b6c7,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270915/GEEN%20TEKENINGNUMMER(15).jpg,GEEN TEKENINGNUMMER(15),AA270915,TR
57,73e7d15e-d01b-4a90-97f7-781de87519f4,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270915/GEEN%20TEKENINGNUMMER(16).jpg,GEEN TEKENINGNUMMER(16),AA270915,TR
58,6435632b-75e3-49d9-aeff-16e26e5f39b1,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270915/GEEN%20TEKENINGNUMMER(17).jpg,GEEN TEKENINGNUMMER(17),AA270915,TR
59,8349dd87-62b3-42be-8d0a-3ff6d8166103,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270915/GEEN%20TEKENINGNUMMER(18).jpg,GEEN TEKENINGNUMMER(18),AA270915,TR
60,8e90a402-e47d-4ddd-898d-80a9130d6503,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270915/GEEN%20TEKENINGNUMMER(19).jpg,GEEN TEKENINGNUMMER(19),AA270915,TR
61,a9e141de-b3dc-441c-a1ba-65ea82b6acad,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270915/GEEN%20TEKENINGNUMMER(20).jpg,GEEN TEKENINGNUMMER(20),AA270915,TR
62,3b3d2d09-fb22-417b-b511-06886b6a0eb8,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270915/GEEN%20TEKENINGNUMMER(21).jpg,GEEN TEKENINGNUMMER(21),AA270915,TR
63,c8a02383-4225-453c-81b4-914358fd6775,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270915/GEEN%20TEKENINGNUMMER(22).jpg,GEEN TEKENINGNUMMER(22),AA270915,TR
64,9eaa17c4-a9f9-49a4-bc7a-6f75d193bf4c,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270915/GEEN%20TEKENINGNUMMER(23).jpg,GEEN TEKENINGNUMMER(23),AA270915,TR
65,34747f5c-72a0-4fd8-a4ef-003c08f0bb69,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270915/GEEN%20TEKENINGNUMMER(24).jpg,GEEN TEKENINGNUMMER(24),AA270915,TR
66,db88f261-302b-4ce4-8f33-84b0d4d20668,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270915/GEEN%20TEKENINGNUMMER(25).jpg,GEEN TEKENINGNUMMER(25),AA270915,TR
67,074a4598-5988-46a2-95f4-f8c625a1fcb3,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270916/1.jpg,1,AA270916,00-12.4
68,a8453a5b-7b1f-4310-833e-c399b6df5d7e,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270916/6.jpg,6,AA270916,00-12.4
69,2bea1e4a-0073-4189-9cce-7bdce5419334,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270916/7.jpg,7,AA270916,00-12.4
70,b958044a-a340-4645-9f83-51b08554adfe,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270917/37E.jpg,37E,AA270917,TR
71,7680527d-b528-4440-88ad-bf5d7e8fb6e7,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270917/GEEN%20TEKENINGNUMMER(1).jpg,GEEN TEKENINGNUMMER(1),AA270917,TR
72,1c1d777f-1315-4659-8201-ea5153fef091,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270917/GEEN%20TEKENINGNUMMER(2).jpg,GEEN TEKENINGNUMMER(2),AA270917,TR
73,5bef4a45-653a-45b0-aca4-f11bdc928a3e,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270918/GEEN%20TEKENINGNUMMER.jpg,GEEN TEKENINGNUMMER,AA270918,TR
74,0f1f312b-3102-4cc6-9048-b5bac570566c,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270919/01b.jpg,01b,AA270919,TR
75,61c1f70d-7481-4fa8-a280-54dd0e04a0d9,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270919/825-200.jpg,825-200,AA270919,TR
76,fb0ae57a-8713-4fbb-81d3-264be1891722,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270919/GEEN%20TEKENINGNUMMER.jpg,GEEN TEKENINGNUMMER,AA270919,TR
77,97eb9bee-b8d8-4f0b-8f5c-b81b7fd88e38,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270919/GEEN%20TEKENINGNUMMER(1).jpg,GEEN TEKENINGNUMMER(1),AA270919,TR
